[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000226s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000209s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.000420s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000144s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000241s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000064s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SHOW COLUMNS FROM `yjl_j_role` [ RunTime:0.013584s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | SQL: SELECT * FROM `yjl_j_role` WHERE id=1 LIMIT 1   [ RunTime:0.000319s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_template ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run LocationTemplate Behavior [ RunTime:0.000303s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_template ] --END-- [ RunTime:0.000357s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_parse ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: sub_menu 987c9db608489a54aaba6faa6bc56bce.php 第 36 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | NOTIC: [8] Undefined variable: big_menu 987c9db608489a54aaba6faa6bc56bce.php 第 36 行.
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ParseTemplate Behavior [ RunTime:0.011430s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011478s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Tag[ view_filter ] --START--
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run ContentReplace Behavior [ RunTime:0.000162s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run TokenBuild Behavior [ RunTime:0.000164s ]
[ 2013-06-03T09:02:13+08:00 ] /new/admin.php?a=panel&m=public | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000086s ]
