[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_shops_cate` [ RunTime:0.000136s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_coupon_list` [ RunTime:0.000137s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_coupon_type` [ RunTime:0.000182s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined index:  debug baseAction.class.php 第 50 行.
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_group` [ RunTime:0.000248s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SELECT `id`,`title` FROM `yjl_j_group` WHERE status=1 ORDER BY sort ASC  [ RunTime:0.000099s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SHOW COLUMNS FROM `yjl_j_setting` [ RunTime:0.000133s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | SQL: SELECT * FROM `yjl_j_setting`  [ RunTime:0.000046s ]
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [2] Invalid argument supplied for foreach() baseAction.class.php 第 80 行.
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined variable: set baseAction.class.php 第 83 行.
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | NOTIC: [8] Undefined index:  iframe baseAction.class.php 第 88 行.
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Tag[ view_template ] --START--
[ 2013-06-01T18:12:04+08:00 ] /new/admin.php?a=add&m=supervisor | INFO: Run LocationTemplate Behavior [ RunTime:0.000192s ]
