[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run TokenBuild Behavior [ RunTime:0.001009s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000895s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run ShowRuntime Behavior [ RunTime:0.001048s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004122s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001044s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=5 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001092s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001430s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001527s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | SQL: SHOW COLUMNS FROM `yjl_supervisors` [ RunTime:0.001318s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | NOTIC: [8] Undefined index:  p supervisorModel.class.php 第 37 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 6 LIMIT 1   [ RunTime:0.000208s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 6 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000271s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run LocationTemplate Behavior [ RunTime:0.001148s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001212s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_parse ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | NOTIC: [8] Undefined variable: web_title 8fc1b62dd067a8ae227fdf05b24233d5.php 第 15 行.
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run ParseTemplate Behavior [ RunTime:0.014016s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_parse ] --END-- [ RunTime:0.014076s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_filter ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run ContentReplace Behavior [ RunTime:0.001010s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run TokenBuild Behavior [ RunTime:0.001000s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000886s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run ShowRuntime Behavior [ RunTime:0.001038s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004073s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_end ] --START--
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run ShowPageTrace Behavior [ RunTime:0.001035s ]
[ 2013-06-05T11:50:50+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_end ] --END-- [ RunTime:0.001083s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ app_begin ] --START--
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001457s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001568s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | SQL: SHOW COLUMNS FROM `yjl_supervisors` [ RunTime:0.001618s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | NOTIC: [8] Undefined index:  p supervisorModel.class.php 第 37 行.
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | SQL: SELECT COUNT(*) AS tp_count FROM `yjl_supervisors` WHERE profession = 6 LIMIT 1   [ RunTime:0.000729s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | SQL: SELECT yjl_company.name as company,yjl_company.region,yjl_supervisors.* FROM `yjl_supervisors` LEFT JOIN yjl_company ON yjl_company.id = yjl_supervisors.cid WHERE profession = 6 ORDER BY addtime DESC LIMIT 0,1   [ RunTime:0.000200s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_template ] --START--
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Run LocationTemplate Behavior [ RunTime:0.001480s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_template ] --END-- [ RunTime:0.001565s ]
[ 2013-06-05T11:50:51+08:00 ] /new/index.php?a=index&m=supervisor&f=6 | INFO: Tag[ view_parse ] --START--
